task_from,slot_old,task_to,slot_new,weight
finqa,3157,finqa,3157,678
gsm8k,3157,gsm8k,8590,800
humaneval,3157,humaneval,8591,255
gsm8k,2619,gsm8k,2619,791
gsm8k,2838,gsm8k,2838,790
gsm8k,1066,gsm8k,1066,784
humaneval,2325,humaneval,2325,1696
gsm8k,2325,gsm8k,8592,783
gsm8k,2137,gsm8k,2137,782
finqa,2357,finqa,2357,819
gsm8k,2357,gsm8k,8593,781
humaneval,2357,humaneval,8594,191
finqa,1790,finqa,1790,1027
gsm8k,1790,gsm8k,8595,781
humaneval,1790,humaneval,8596,186
gsm8k,594,gsm8k,594,781
finqa,265,finqa,265,944
gsm8k,265,gsm8k,8597,780
gsm8k,848,gsm8k,848,778
finqa,3123,finqa,3123,879
gsm8k,3123,gsm8k,8598,778
humaneval,765,humaneval,765,10988
gsm8k,765,gsm8k,8599,775
finqa,765,finqa,8600,937
gsm8k,2020,gsm8k,2020,771
finqa,1509,finqa,1509,730
gsm8k,1509,gsm8k,8601,768
finqa,3690,finqa,3690,745
gsm8k,3690,gsm8k,8602,765
finqa,2403,finqa,2403,596
gsm8k,2403,gsm8k,8603,764
gsm8k,1003,gsm8k,1003,761
gsm8k,1877,gsm8k,1877,758
humaneval,1877,humaneval,8604,299
finqa,3649,finqa,3649,906
gsm8k,3649,gsm8k,8605,753
gsm8k,3717,gsm8k,3717,750
finqa,607,finqa,607,1116
gsm8k,607,gsm8k,8606,749
gsm8k,1701,gsm8k,1701,748
finqa,2913,finqa,2913,841
gsm8k,2913,gsm8k,8607,740
finqa,142,finqa,142,617
gsm8k,142,gsm8k,8608,738
gsm8k,2714,gsm8k,2714,735
gsm8k,222,gsm8k,222,734
humaneval,222,humaneval,8609,254
gsm8k,1091,gsm8k,1091,732
humaneval,1091,humaneval,8610,251
gsm8k,968,gsm8k,968,729
finqa,2077,finqa,2077,528
gsm8k,2077,gsm8k,8611,727
humaneval,358,humaneval,358,2506
gsm8k,358,gsm8k,8612,724
finqa,582,finqa,582,1090
gsm8k,582,gsm8k,8613,721
gsm8k,168,gsm8k,168,720
finqa,2969,finqa,2969,585
gsm8k,2969,gsm8k,8614,720
finqa,795,finqa,795,619
gsm8k,795,gsm8k,8615,718
humaneval,1309,humaneval,1309,1600
gsm8k,1309,gsm8k,8616,714
gsm8k,2399,gsm8k,2399,714
gsm8k,1889,gsm8k,1889,713
gsm8k,1549,gsm8k,1549,711
gsm8k,587,gsm8k,587,706
gsm8k,2590,gsm8k,2590,702
gsm8k,1981,gsm8k,1981,692
finqa,3615,finqa,3615,1206
gsm8k,3615,gsm8k,8617,686
gsm8k,1101,gsm8k,1101,686
finqa,3992,finqa,3992,1289
gsm8k,3992,gsm8k,8618,685
humaneval,3992,humaneval,8619,1600
gsm8k,3153,gsm8k,3153,685
gsm8k,661,gsm8k,661,682
gsm8k,3247,gsm8k,3247,679
gsm8k,2248,gsm8k,2248,679
finqa,421,finqa,421,544
gsm8k,421,gsm8k,8620,678
humaneval,421,humaneval,8621,184
gsm8k,3080,gsm8k,3080,677
finqa,998,finqa,998,544
gsm8k,998,gsm8k,8622,675
finqa,1644,finqa,1644,946
gsm8k,1644,gsm8k,8623,670
gsm8k,1957,gsm8k,1957,669
finqa,3582,finqa,3582,810
gsm8k,3582,gsm8k,8624,669
gsm8k,1316,gsm8k,1316,668
gsm8k,3884,gsm8k,3884,666
gsm8k,2908,gsm8k,2908,665
gsm8k,3882,gsm8k,3882,665
humaneval,3882,humaneval,8625,179
gsm8k,174,gsm8k,174,662
gsm8k,1520,gsm8k,1520,660
gsm8k,3537,gsm8k,3537,660
gsm8k,3060,gsm8k,3060,658
gsm8k,727,gsm8k,727,656
finqa,1215,finqa,1215,747
gsm8k,1215,gsm8k,8626,654
gsm8k,3010,gsm8k,3010,652
gsm8k,869,gsm8k,869,652
gsm8k,1513,gsm8k,1513,649
gsm8k,2502,gsm8k,2502,648
gsm8k,3969,gsm8k,3969,647
gsm8k,1262,gsm8k,1262,645
gsm8k,1485,gsm8k,1485,645
gsm8k,610,gsm8k,610,641
finqa,2269,finqa,2269,898
gsm8k,2269,gsm8k,8627,638
gsm8k,1078,gsm8k,1078,638
gsm8k,3915,gsm8k,3915,637
gsm8k,474,gsm8k,474,632
finqa,456,finqa,456,868
gsm8k,456,gsm8k,8628,630
gsm8k,2475,gsm8k,2475,630
gsm8k,254,gsm8k,254,627
humaneval,3689,humaneval,3689,2702
gsm8k,3689,gsm8k,8629,623
gsm8k,1514,gsm8k,1514,620
gsm8k,4060,gsm8k,4060,619
humaneval,2692,humaneval,2692,3935
gsm8k,2692,gsm8k,8630,617
finqa,2692,finqa,8631,661
finqa,1252,finqa,1252,751
gsm8k,1252,gsm8k,8632,616
gsm8k,2222,gsm8k,2222,613
finqa,3320,finqa,3320,708
gsm8k,3320,gsm8k,8633,610
finqa,1665,finqa,1665,802
gsm8k,1665,gsm8k,8634,610
humaneval,1665,humaneval,8635,379
gsm8k,3355,gsm8k,3355,609
finqa,1425,finqa,1425,599
gsm8k,1425,gsm8k,8636,609
gsm8k,104,gsm8k,104,606
gsm8k,422,gsm8k,422,604
finqa,30,finqa,30,631
gsm8k,30,gsm8k,8637,603
gsm8k,2712,gsm8k,2712,603
gsm8k,3761,gsm8k,3761,601
finqa,3308,finqa,3308,1983
gsm8k,3308,gsm8k,8638,599
gsm8k,137,gsm8k,137,597
gsm8k,1723,gsm8k,1723,592
humaneval,274,humaneval,274,1605
gsm8k,274,gsm8k,8639,587
finqa,274,finqa,8640,602
finqa,1731,finqa,1731,613
gsm8k,1731,gsm8k,8641,587
gsm8k,2983,gsm8k,2983,585
gsm8k,173,gsm8k,173,583
gsm8k,1297,gsm8k,1297,582
gsm8k,1503,gsm8k,1503,578
finqa,3605,finqa,3605,856
gsm8k,3605,gsm8k,8642,575
finqa,3033,finqa,3033,1303
gsm8k,3033,gsm8k,8643,574
finqa,3795,finqa,3795,824
gsm8k,3795,gsm8k,8644,574
gsm8k,3418,gsm8k,3418,574
gsm8k,2648,gsm8k,2648,570
finqa,3198,finqa,3198,1260
gsm8k,3198,gsm8k,8645,570
finqa,3575,finqa,3575,1325
gsm8k,3575,gsm8k,8646,569
finqa,3539,finqa,3539,744
gsm8k,3539,gsm8k,8647,566
gsm8k,2083,gsm8k,2083,564
finqa,29,finqa,29,1538
gsm8k,29,gsm8k,8648,563
gsm8k,3590,gsm8k,3590,561
humaneval,3590,humaneval,8649,236
finqa,229,finqa,229,1034
gsm8k,229,gsm8k,8650,560
humaneval,229,humaneval,8651,464
gsm8k,1401,gsm8k,1401,557
finqa,2565,finqa,2565,529
gsm8k,2565,gsm8k,8652,555
finqa,79,finqa,79,1037
gsm8k,79,gsm8k,8653,554
humaneval,367,humaneval,367,1630
gsm8k,367,gsm8k,8654,553
gsm8k,2484,gsm8k,2484,548
gsm8k,1943,gsm8k,1943,546
gsm8k,2558,gsm8k,2558,544
humaneval,2558,humaneval,8655,440
gsm8k,2194,gsm8k,2194,542
gsm8k,2696,gsm8k,2696,540
gsm8k,1585,gsm8k,1585,540
gsm8k,4058,gsm8k,4058,539
gsm8k,2811,gsm8k,2811,539
humaneval,2811,humaneval,8656,430
gsm8k,1293,gsm8k,1293,538
finqa,57,finqa,57,872
gsm8k,57,gsm8k,8657,536
finqa,1350,finqa,1350,513
gsm8k,1350,gsm8k,8658,532
finqa,1400,finqa,1400,1144
gsm8k,1400,gsm8k,8659,531
finqa,1108,finqa,1108,511
gsm8k,1108,gsm8k,8660,531
gsm8k,3610,gsm8k,3610,531
gsm8k,520,gsm8k,520,530
finqa,3637,finqa,3637,1179
gsm8k,3637,gsm8k,8661,525
finqa,2205,finqa,2205,610
gsm8k,2205,gsm8k,8662,521
gsm8k,3635,gsm8k,3635,520
finqa,2665,finqa,2665,548
gsm8k,2665,gsm8k,8663,518
finqa,1042,finqa,1042,1487
gsm8k,1042,gsm8k,8664,518
finqa,1762,finqa,1762,727
gsm8k,1762,gsm8k,8665,517
humaneval,2461,humaneval,2461,662
gsm8k,2461,gsm8k,8666,516
gsm8k,2499,gsm8k,2499,509
gsm8k,2871,gsm8k,2871,507
gsm8k,1134,gsm8k,1134,507
gsm8k,595,gsm8k,595,505
gsm8k,410,gsm8k,410,505
finqa,4002,finqa,4002,1410
gsm8k,4002,gsm8k,8667,503
finqa,3084,finqa,3084,963
gsm8k,3084,gsm8k,8668,496
gsm8k,1441,gsm8k,1441,495
gsm8k,3558,gsm8k,3558,494
finqa,2428,finqa,2428,533
gsm8k,2428,gsm8k,8669,492
gsm8k,180,gsm8k,180,490
gsm8k,2780,gsm8k,2780,487
finqa,2050,finqa,2050,649
gsm8k,2050,gsm8k,8670,486
finqa,2934,finqa,2934,910
gsm8k,2934,gsm8k,8671,486
gsm8k,711,gsm8k,711,486
gsm8k,2217,gsm8k,2217,484
finqa,3685,finqa,3685,728
gsm8k,3685,gsm8k,8672,482
gsm8k,230,gsm8k,230,481
gsm8k,2916,gsm8k,2916,480
finqa,1114,finqa,1114,564
gsm8k,1114,gsm8k,8673,480
finqa,3039,finqa,3039,936
gsm8k,3039,gsm8k,8674,478
humaneval,3813,humaneval,3813,18682
humaneval,758,humaneval,758,18619
finqa,758,finqa,8675,1760
humaneval,380,humaneval,380,18604
humaneval,785,humaneval,785,18604
humaneval,2241,humaneval,2241,18604
humaneval,1958,humaneval,1958,18604
humaneval,59,humaneval,59,18424
finqa,59,finqa,8676,2123
humaneval,3197,humaneval,3197,11758
humaneval,3796,humaneval,3796,11486
finqa,3796,finqa,8677,1773
humaneval,263,humaneval,263,11391
finqa,263,finqa,8678,1852
humaneval,537,humaneval,537,10977
finqa,537,finqa,8679,1819
humaneval,872,humaneval,872,10963
finqa,872,finqa,8680,1608
humaneval,2061,humaneval,2061,10285
finqa,2061,finqa,8681,1595
humaneval,1208,humaneval,1208,10281
finqa,1208,finqa,8682,1549
humaneval,1522,humaneval,1522,10276
finqa,1522,finqa,8683,1534
humaneval,60,humaneval,60,10276
finqa,60,finqa,8684,1484
humaneval,2959,humaneval,2959,10276
finqa,2959,finqa,8685,1511
humaneval,1972,humaneval,1972,8163
humaneval,36,humaneval,36,8150
finqa,36,finqa,8686,602
humaneval,2515,humaneval,2515,8134
humaneval,3476,humaneval,3476,8131
humaneval,314,humaneval,314,8131
humaneval,1720,humaneval,1720,8131
humaneval,3566,humaneval,3566,7048
humaneval,2270,humaneval,2270,6460
humaneval,1106,humaneval,1106,6454
humaneval,1882,humaneval,1882,6420
humaneval,2533,humaneval,2533,6417
humaneval,3509,humaneval,3509,6417
humaneval,3608,humaneval,3608,6417
finqa,2278,finqa,2278,8023
humaneval,2278,humaneval,8687,6188
humaneval,4084,humaneval,4084,6101
finqa,4084,finqa,8688,735
humaneval,2479,humaneval,2479,5832
humaneval,2441,humaneval,2441,5542
finqa,2441,finqa,8689,903
humaneval,332,humaneval,332,5426
finqa,332,finqa,8690,727
humaneval,1390,humaneval,1390,5302
humaneval,1634,humaneval,1634,5230
finqa,1634,finqa,8691,581
humaneval,1053,humaneval,1053,5223
finqa,1053,finqa,8692,499
humaneval,3756,humaneval,3756,5217
humaneval,750,humaneval,750,5201
humaneval,2532,humaneval,2532,4515
humaneval,268,humaneval,268,4509
finqa,268,finqa,8693,497
humaneval,2683,humaneval,2683,4501
humaneval,670,humaneval,670,4501
humaneval,2085,humaneval,2085,4501
finqa,2085,finqa,8694,581
finqa,4039,finqa,4039,3432
humaneval,4039,humaneval,8695,3995
humaneval,3270,humaneval,3270,3969
finqa,3789,finqa,3789,3326
humaneval,3789,humaneval,8696,3955
finqa,3814,finqa,3814,3392
humaneval,3814,humaneval,8697,3948
finqa,3007,finqa,3007,3293
humaneval,3007,humaneval,8698,3948
humaneval,995,humaneval,995,3932
humaneval,3872,humaneval,3872,3925
humaneval,2518,humaneval,2518,3925
humaneval,2804,humaneval,2804,3925
humaneval,599,humaneval,599,3464
humaneval,1760,humaneval,1760,3431
humaneval,3625,humaneval,3625,3396
humaneval,830,humaneval,830,3375
humaneval,3217,humaneval,3217,3373
humaneval,1775,humaneval,1775,3371
humaneval,3119,humaneval,3119,3371
humaneval,1629,humaneval,1629,2922
humaneval,2423,humaneval,2423,2832
humaneval,326,humaneval,326,2734
humaneval,634,humaneval,634,2703
humaneval,2140,humaneval,2140,2700
humaneval,1479,humaneval,1479,2626
finqa,1479,finqa,8699,992
humaneval,581,humaneval,581,2585
humaneval,2629,humaneval,2629,2508
humaneval,794,humaneval,794,2471
humaneval,366,humaneval,366,2467
humaneval,2601,humaneval,2601,2303
humaneval,1801,humaneval,1801,2271
finqa,3953,finqa,3953,4200
humaneval,3953,humaneval,8700,2225
finqa,986,finqa,986,4398
humaneval,986,humaneval,8701,2218
finqa,2996,finqa,2996,4221
humaneval,2996,humaneval,8702,2215
finqa,3634,finqa,3634,1155
humaneval,3634,humaneval,8703,2133
humaneval,2782,humaneval,2782,2117
humaneval,3959,humaneval,3959,2088
humaneval,885,humaneval,885,2085
humaneval,513,humaneval,513,2082
humaneval,1052,humaneval,1052,2082
humaneval,212,humaneval,212,2078
humaneval,1758,humaneval,1758,2067
humaneval,3847,humaneval,3847,2063
humaneval,3806,humaneval,3806,2063
humaneval,552,humaneval,552,2057
humaneval,3778,humaneval,3778,2056
humaneval,1296,humaneval,1296,2051
humaneval,1276,humaneval,1276,2051
humaneval,3811,humaneval,3811,1985
finqa,3811,finqa,8704,643
humaneval,1235,humaneval,1235,1985
finqa,1235,finqa,8705,708
humaneval,3827,humaneval,3827,1973
humaneval,810,humaneval,810,1973
humaneval,1613,humaneval,1613,1941
humaneval,2637,humaneval,2637,1929
humaneval,3920,humaneval,3920,1881
humaneval,588,humaneval,588,1860
humaneval,625,humaneval,625,1841
humaneval,3172,humaneval,3172,1841
humaneval,375,humaneval,375,1714
humaneval,1807,humaneval,1807,1709
finqa,1807,finqa,8706,541
humaneval,1329,humaneval,1329,1699
finqa,1329,finqa,8707,561
humaneval,1182,humaneval,1182,1697
finqa,1420,finqa,1420,960
humaneval,1420,humaneval,8708,1686
humaneval,593,humaneval,593,1664
humaneval,802,humaneval,802,1658
humaneval,285,humaneval,285,1658
finqa,285,finqa,8709,660
humaneval,2118,humaneval,2118,1650
humaneval,1232,humaneval,1232,1638
humaneval,2028,humaneval,2028,1634
finqa,1205,finqa,1205,983
humaneval,1205,humaneval,8710,1625
humaneval,223,humaneval,223,1621
humaneval,1617,humaneval,1617,1621
humaneval,3421,humaneval,3421,1621
humaneval,2851,humaneval,2851,1621
humaneval,1819,humaneval,1819,1615
humaneval,3563,humaneval,3563,1613
finqa,1708,finqa,1708,2619
humaneval,1708,humaneval,8711,1612
humaneval,4078,humaneval,4078,1612
humaneval,2301,humaneval,2301,1610
humaneval,1647,humaneval,1647,1608
humaneval,1241,humaneval,1241,1607
humaneval,2292,humaneval,2292,1606
finqa,2292,finqa,8712,532
humaneval,4031,humaneval,4031,1605
humaneval,2462,humaneval,2462,1604
humaneval,647,humaneval,647,1604
humaneval,2993,humaneval,2993,1602
humaneval,1496,humaneval,1496,1602
humaneval,3647,humaneval,3647,1601
humaneval,2486,humaneval,2486,1600
humaneval,39,humaneval,39,1600
finqa,2995,finqa,2995,701
humaneval,2995,humaneval,8713,1600
humaneval,2108,humaneval,2108,1600
humaneval,2045,humaneval,2045,1600
humaneval,4005,humaneval,4005,1600
humaneval,2781,humaneval,2781,1600
humaneval,355,humaneval,355,1600
humaneval,69,humaneval,69,1600
finqa,69,finqa,8714,526
humaneval,2119,humaneval,2119,1600
humaneval,3137,humaneval,3137,1600
humaneval,2984,humaneval,2984,1600
finqa,2984,finqa,8715,558
humaneval,3063,humaneval,3063,1600
finqa,272,finqa,272,808
humaneval,272,humaneval,8716,1600
humaneval,2739,humaneval,2739,1600
finqa,53,finqa,53,1239
humaneval,53,humaneval,8717,1600
humaneval,3079,humaneval,3079,1600
finqa,2422,finqa,2422,2666
humaneval,2422,humaneval,8718,1600
humaneval,1804,humaneval,1804,1600
humaneval,1786,humaneval,1786,1600
humaneval,3864,humaneval,3864,1600
humaneval,3419,humaneval,3419,1600
humaneval,3481,humaneval,3481,1600
humaneval,1727,humaneval,1727,1600
finqa,1727,finqa,8719,560
humaneval,3502,humaneval,3502,1600
finqa,3502,finqa,8720,499
humaneval,3567,humaneval,3567,1600
humaneval,1908,humaneval,1908,1600
humaneval,2576,humaneval,2576,1600
humaneval,3424,humaneval,3424,1326
finqa,2362,finqa,2362,801
humaneval,2362,humaneval,8721,1256
humaneval,3230,humaneval,3230,1250
humaneval,1967,humaneval,1967,1250
humaneval,3121,humaneval,3121,1250
finqa,3565,finqa,3565,1619
humaneval,3565,humaneval,8722,1077
humaneval,4034,humaneval,4034,1072
humaneval,308,humaneval,308,1037
humaneval,2632,humaneval,2632,1026
humaneval,849,humaneval,849,1026
humaneval,2037,humaneval,2037,1026
humaneval,1319,humaneval,1319,879
humaneval,3725,humaneval,3725,828
finqa,1188,finqa,1188,1382
humaneval,1188,humaneval,8723,825
finqa,2614,finqa,2614,1143
humaneval,2614,humaneval,8724,798
humaneval,1499,humaneval,1499,775
humaneval,1951,humaneval,1951,771
finqa,2458,finqa,2458,1142
humaneval,2458,humaneval,8725,751
humaneval,2625,humaneval,2625,751
finqa,2212,finqa,2212,527
humaneval,2212,humaneval,8726,733
humaneval,1733,humaneval,1733,733
humaneval,2046,humaneval,2046,733
humaneval,2231,humaneval,2231,733
humaneval,3809,humaneval,3809,721
humaneval,1657,humaneval,1657,715
humaneval,2607,humaneval,2607,714
humaneval,1621,humaneval,1621,714
humaneval,2243,humaneval,2243,699
humaneval,1234,humaneval,1234,686
humaneval,2821,humaneval,2821,658
humaneval,2190,humaneval,2190,654
humaneval,260,humaneval,260,651
humaneval,2858,humaneval,2858,650
humaneval,2843,humaneval,2843,631
humaneval,2009,humaneval,2009,631
humaneval,1933,humaneval,1933,612
humaneval,3702,humaneval,3702,601
humaneval,1307,humaneval,1307,580
humaneval,2549,humaneval,2549,568
humaneval,3919,humaneval,3919,562
humaneval,2641,humaneval,2641,561
humaneval,3517,humaneval,3517,558
humaneval,3443,humaneval,3443,550
humaneval,1269,humaneval,1269,550
finqa,1611,finqa,1611,578
humaneval,1611,humaneval,8727,550
humaneval,2606,humaneval,2606,547
humaneval,3781,humaneval,3781,533
humaneval,2332,humaneval,2332,523
humaneval,3619,humaneval,3619,504
humaneval,300,humaneval,300,504
humaneval,2043,humaneval,2043,504
humaneval,280,humaneval,280,504
humaneval,1255,humaneval,1255,504
humaneval,357,humaneval,357,504
humaneval,2418,humaneval,2418,504
humaneval,1211,humaneval,1211,491
humaneval,1539,humaneval,1539,491
humaneval,3413,humaneval,3413,487
humaneval,2266,humaneval,2266,485
humaneval,1311,humaneval,1311,463
humaneval,80,humaneval,80,462
humaneval,1918,humaneval,1918,456
humaneval,929,humaneval,929,456
humaneval,3136,humaneval,3136,456
humaneval,4041,humaneval,4041,456
humaneval,1533,humaneval,1533,456
humaneval,1035,humaneval,1035,455
humaneval,548,humaneval,548,444
humaneval,2645,humaneval,2645,435
finqa,1808,finqa,1808,762
humaneval,1808,humaneval,8728,434
humaneval,359,humaneval,359,433
humaneval,832,humaneval,832,433
humaneval,1495,humaneval,1495,433
humaneval,2358,humaneval,2358,431
humaneval,1424,humaneval,1424,431
humaneval,2466,humaneval,2466,430
finqa,3112,finqa,3112,584
humaneval,3112,humaneval,8729,428
humaneval,3665,humaneval,3665,425
humaneval,3311,humaneval,3311,425
humaneval,3986,humaneval,3986,420
humaneval,3394,humaneval,3394,388
humaneval,1032,humaneval,1032,364
humaneval,203,humaneval,203,364
humaneval,1204,humaneval,1204,359
humaneval,3222,humaneval,3222,349
humaneval,1147,humaneval,1147,337
humaneval,2239,humaneval,2239,337
humaneval,3106,humaneval,3106,337
humaneval,3092,humaneval,3092,337
humaneval,1346,humaneval,1346,337
humaneval,3343,humaneval,3343,330
humaneval,3294,humaneval,3294,328
finqa,3977,finqa,3977,580
humaneval,3977,humaneval,8730,317
humaneval,742,humaneval,742,316
humaneval,108,humaneval,108,313
humaneval,3862,humaneval,3862,313
humaneval,1099,humaneval,1099,313
humaneval,609,humaneval,609,303
humaneval,4013,humaneval,4013,294
finqa,1151,finqa,1151,1067
humaneval,1151,humaneval,8731,288
humaneval,3661,humaneval,3661,284
humaneval,3487,humaneval,3487,283
finqa,3446,finqa,3446,625
humaneval,3446,humaneval,8732,281
humaneval,1987,humaneval,1987,277
humaneval,1978,humaneval,1978,272
humaneval,1744,humaneval,1744,270
humaneval,1020,humaneval,1020,267
humaneval,2378,humaneval,2378,265
humaneval,2042,humaneval,2042,262
humaneval,2229,humaneval,2229,262
humaneval,1267,humaneval,1267,260
humaneval,1481,humaneval,1481,260
humaneval,3445,humaneval,3445,260
humaneval,2899,humaneval,2899,258
humaneval,2057,humaneval,2057,251
humaneval,106,humaneval,106,251
humaneval,4042,humaneval,4042,251
finqa,202,finqa,202,1233
humaneval,202,humaneval,8733,251
humaneval,1243,humaneval,1243,247
humaneval,3135,humaneval,3135,242
humaneval,1236,humaneval,1236,236
humaneval,1997,humaneval,1997,236
humaneval,4076,humaneval,4076,236
humaneval,1968,humaneval,1968,236
humaneval,3960,humaneval,3960,232
humaneval,933,humaneval,933,229
humaneval,1840,humaneval,1840,228
humaneval,2473,humaneval,2473,228
humaneval,423,humaneval,423,228
humaneval,2175,humaneval,2175,228
humaneval,2162,humaneval,2162,228
humaneval,850,humaneval,850,228
humaneval,43,humaneval,43,226
humaneval,3472,humaneval,3472,225
humaneval,3044,humaneval,3044,225
humaneval,824,humaneval,824,225
humaneval,2062,humaneval,2062,223
humaneval,479,humaneval,479,220
finqa,113,finqa,113,538
humaneval,113,humaneval,8734,220
humaneval,2348,humaneval,2348,220
humaneval,1061,humaneval,1061,220
humaneval,3676,humaneval,3676,220
humaneval,2089,humaneval,2089,220
finqa,950,finqa,950,622
humaneval,950,humaneval,8735,214
humaneval,406,humaneval,406,210
humaneval,2232,humaneval,2232,207
humaneval,3447,humaneval,3447,204
humaneval,351,humaneval,351,195
humaneval,165,humaneval,165,192
humaneval,3910,humaneval,3910,192
humaneval,534,humaneval,534,187
finqa,738,finqa,738,978
humaneval,738,humaneval,8736,186
finqa,4048,finqa,4048,515
humaneval,4048,humaneval,8737,186
humaneval,1155,humaneval,1155,186
humaneval,3193,humaneval,3193,182
humaneval,1655,humaneval,1655,181
humaneval,2731,humaneval,2731,181
humaneval,3390,humaneval,3390,181
humaneval,3072,humaneval,3072,177
humaneval,283,humaneval,283,170
finqa,3606,finqa,3606,3651
humaneval,3606,humaneval,8738,168
humaneval,2029,humaneval,2029,166
humaneval,1557,humaneval,1557,164
humaneval,2193,humaneval,2193,163
finqa,1815,finqa,1815,3240
finqa,1295,finqa,1295,3152
finqa,98,finqa,98,3126
finqa,2402,finqa,2402,3113
finqa,481,finqa,481,3100
finqa,857,finqa,857,3059
finqa,2460,finqa,2460,2874
finqa,3081,finqa,3081,2673
finqa,2922,finqa,2922,2617
finqa,525,finqa,525,2512
finqa,3593,finqa,3593,2507
finqa,3770,finqa,3770,1746
finqa,3852,finqa,3852,1543
finqa,2672,finqa,2672,1534
finqa,3492,finqa,3492,1440
finqa,3954,finqa,3954,1387
finqa,169,finqa,169,1382
finqa,3059,finqa,3059,1358
finqa,2873,finqa,2873,1355
finqa,97,finqa,97,1331
finqa,1527,finqa,1527,1311
finqa,2273,finqa,2273,1274
finqa,3945,finqa,3945,1207
finqa,2707,finqa,2707,1172
finqa,811,finqa,811,1171
finqa,1793,finqa,1793,1169
finqa,658,finqa,658,1134
finqa,890,finqa,890,1127
finqa,2153,finqa,2153,1115
finqa,18,finqa,18,1105
finqa,1322,finqa,1322,1086
finqa,2948,finqa,2948,1086
finqa,1434,finqa,1434,1047
finqa,2280,finqa,2280,1005
finqa,15,finqa,15,970
finqa,1872,finqa,1872,950
finqa,3126,finqa,3126,950
finqa,2611,finqa,2611,943
finqa,2644,finqa,2644,939
finqa,17,finqa,17,931
finqa,3982,finqa,3982,920
finqa,3018,finqa,3018,908
finqa,231,finqa,231,906
finqa,2610,finqa,2610,904
finqa,446,finqa,446,878
finqa,751,finqa,751,862
finqa,3672,finqa,3672,861
finqa,91,finqa,91,848
finqa,725,finqa,725,845
finqa,28,finqa,28,843
finqa,3226,finqa,3226,836
finqa,972,finqa,972,830
finqa,3662,finqa,3662,827
finqa,155,finqa,155,825
finqa,1303,finqa,1303,824
finqa,2474,finqa,2474,823
finqa,1627,finqa,1627,817
finqa,3851,finqa,3851,794
finqa,3246,finqa,3246,790
finqa,1220,finqa,1220,787
finqa,1494,finqa,1494,783
finqa,2687,finqa,2687,782
finqa,2380,finqa,2380,774
finqa,269,finqa,269,772
finqa,3365,finqa,3365,765
finqa,3366,finqa,3366,763
finqa,3766,finqa,3766,748
finqa,3379,finqa,3379,724
finqa,2598,finqa,2598,717
finqa,2791,finqa,2791,716
finqa,1870,finqa,1870,711
finqa,3183,finqa,3183,709
finqa,3861,finqa,3861,695
finqa,2146,finqa,2146,693
finqa,2347,finqa,2347,678
finqa,1932,finqa,1932,677
finqa,2685,finqa,2685,677
finqa,3314,finqa,3314,670
finqa,3636,finqa,3636,669
finqa,755,finqa,755,665
finqa,951,finqa,951,664
finqa,3395,finqa,3395,664
finqa,190,finqa,190,664
finqa,1118,finqa,1118,662
finqa,1984,finqa,1984,656
finqa,2758,finqa,2758,653
finqa,1750,finqa,1750,650
finqa,2885,finqa,2885,650
finqa,3738,finqa,3738,648
finqa,1788,finqa,1788,645
finqa,403,finqa,403,643
finqa,2425,finqa,2425,642
finqa,1632,finqa,1632,638
finqa,1290,finqa,1290,638
finqa,441,finqa,441,637
finqa,1570,finqa,1570,634
finqa,1030,finqa,1030,632
finqa,1102,finqa,1102,630
finqa,252,finqa,252,624
finqa,2956,finqa,2956,620
finqa,4071,finqa,4071,617
finqa,1510,finqa,1510,616
finqa,89,finqa,89,615
finqa,825,finqa,825,612
finqa,2682,finqa,2682,611
finqa,453,finqa,453,610
finqa,1263,finqa,1263,609
finqa,2372,finqa,2372,609
finqa,2695,finqa,2695,606
finqa,663,finqa,663,605
finqa,2690,finqa,2690,604
finqa,282,finqa,282,604
finqa,1318,finqa,1318,601
finqa,2964,finqa,2964,593
finqa,295,finqa,295,591
finqa,1883,finqa,1883,588
finqa,2271,finqa,2271,588
finqa,2335,finqa,2335,587
finqa,1615,finqa,1615,586
finqa,2503,finqa,2503,586
finqa,42,finqa,42,585
finqa,312,finqa,312,578
finqa,3836,finqa,3836,577
finqa,1486,finqa,1486,572
finqa,1122,finqa,1122,571
finqa,1299,finqa,1299,565
finqa,1599,finqa,1599,563
finqa,891,finqa,891,563
finqa,3221,finqa,3221,558
finqa,3240,finqa,3240,557
finqa,242,finqa,242,553
finqa,3513,finqa,3513,553
finqa,3282,finqa,3282,553
finqa,1019,finqa,1019,548
finqa,3360,finqa,3360,545
finqa,365,finqa,365,539
finqa,2654,finqa,2654,539
finqa,586,finqa,586,538
finqa,3741,finqa,3741,534
finqa,3587,finqa,3587,526
finqa,1284,finqa,1284,526
finqa,1524,finqa,1524,522
finqa,1014,finqa,1014,520
finqa,1086,finqa,1086,518
finqa,1752,finqa,1752,515
finqa,224,finqa,224,511
finqa,2968,finqa,2968,510
finqa,616,finqa,616,510
finqa,2226,finqa,2226,508
finqa,2973,finqa,2973,507
finqa,2086,finqa,2086,506
finqa,875,finqa,875,506
finqa,2016,finqa,2016,502
finqa,2999,finqa,2999,502
finqa,805,finqa,805,498
